Date,price
1/29/2013,79.559998
1/30/2013,79.279999
1/31/2013,79.209999
2/1/2013,79.129997
2/4/2013,79.550003
2/5/2013,79.489998
2/6/2013,79.720001
2/7/2013,80.190002
2/8/2013,80.25
2/11/2013,80.309998
2/12/2013,80.110001
2/13/2013,80.089996
2/14/2013,80.459999
2/15/2013,80.580002
2/19/2013,80.470001
2/20/2013,81.089996
2/21/2013,81.459999
2/22/2013,81.480003
2/25/2013,81.669998
2/26/2013,81.870003
2/27/2013,81.599998
2/28/2013,81.980003
3/1/2013,82.309998
3/4/2013,82.220001
3/5/2013,82.089996
3/6/2013,82.459999
3/7/2013,82.080002
3/8/2013,82.699997
3/11/2013,82.57
3/12/2013,82.580002
3/13/2013,82.889999
3/14/2013,82.610001
3/15/2013,82.260002
3/18/2013,82.690002
3/19/2013,82.989998
3/20/2013,82.779999
3/21/2013,82.800003
3/22/2013,82.529999
3/25/2013,82.870003
3/26/2013,82.879997
3/27/2013,83.209999
3/28/2013,82.989998
4/1/2013,82.730003
4/2/2013,82.940002
4/3/2013,82.720001
4/4/2013,82.68
4/5/2013,82.5
4/8/2013,82.75
4/9/2013,82.309998
4/10/2013,82.529999
4/11/2013,82.25
4/12/2013,82.309998
4/15/2013,82.419998
4/16/2013,81.75
4/17/2013,82.660004
4/18/2013,82.550003
4/19/2013,82.709999
4/22/2013,82.68
4/23/2013,83.029999
4/24/2013,82.93
4/25/2013,82.739998
4/26/2013,82.480003
4/29/2013,82.150002
4/30/2013,81.730003
5/1/2013,81.639999
5/2/2013,82.209999
5/3/2013,82.099998
5/6/2013,82.32
5/7/2013,82.300003
5/8/2013,81.900002
5/9/2013,82.790001
5/10/2013,83.139999
5/13/2013,83.260002
5/14/2013,83.57
5/15/2013,83.830002
5/16/2013,83.769997
5/17/2013,84.279999
5/20/2013,83.809998
5/21/2013,83.860001
5/22/2013,84.25
5/23/2013,83.800003
5/24/2013,83.699997
5/28/2013,84.139999
5/29/2013,83.639999
5/30/2013,83.010002
5/31/2013,83.379997
6/3/2013,82.68
6/4/2013,82.769997
6/5/2013,82.57
6/6/2013,81.519997
6/7/2013,81.690002
6/10/2013,81.650002
6/11/2013,81.059998
6/12/2013,80.959999
6/13/2013,80.620003
6/14/2013,80.669998
6/17/2013,80.57
6/18/2013,80.620003
6/19/2013,81.43
6/20/2013,81.839996
6/21/2013,82.32
6/24/2013,82.43
6/25/2013,82.580002
6/26/2013,82.949997
6/27/2013,82.910004
6/28/2013,83.169998
7/1/2013,82.980003
7/2/2013,83.540001
7/3/2013,83.230003
7/5/2013,84.419998
7/8/2013,84.199997
7/9/2013,84.580002
7/10/2013,84.040001
7/11/2013,82.75
7/12/2013,82.989998
7/15/2013,83.040001
7/16/2013,82.43
7/17/2013,82.709999
7/18/2013,82.82
7/19/2013,82.580002
7/22/2013,82.220001
7/23/2013,82.010002
7/24/2013,82.300003
7/25/2013,81.970001
7/26/2013,81.620003
7/29/2013,81.660004
7/30/2013,81.830002
7/31/2013,81.449997
8/1/2013,82.339996
8/2/2013,81.910004
8/5/2013,81.879997
8/6/2013,81.599998
8/7/2013,81.290001
8/8/2013,81.010002
8/9/2013,81.129997
8/12/2013,81.330002
8/13/2013,81.730003
8/14/2013,81.699997
8/15/2013,81.129997
8/16/2013,81.260002
8/19/2013,81.230003
8/20/2013,80.910004
8/21/2013,81.32
8/22/2013,81.489998
8/23/2013,81.339996
8/26/2013,81.370003
8/27/2013,81.169998
8/28/2013,81.419998
8/29/2013,81.949997
8/30/2013,82.089996
9/3/2013,82.360001
9/4/2013,82.169998
9/5/2013,82.629997
9/6/2013,82.150002
9/9/2013,81.790001
9/10/2013,81.82
9/11/2013,81.519997
9/12/2013,81.489998
9/13/2013,81.449997
9/16/2013,81.25
9/17/2013,81.169998
9/18/2013,80.239998
9/19/2013,80.360001
9/20/2013,80.440002
9/23/2013,80.449997
9/24/2013,80.559998
9/25/2013,80.330002
9/26/2013,80.519997
9/27/2013,80.269997
9/30/2013,80.220001
10/1/2013,80.099998
10/2/2013,79.879997
10/3/2013,79.769997
10/4/2013,80.120003
10/7/2013,79.940002
10/8/2013,80.059998
10/9/2013,80.370003
10/10/2013,80.419998
10/11/2013,80.360001
10/14/2013,80.260002
10/15/2013,80.480003
10/16/2013,80.5
10/17/2013,79.650002
10/18/2013,79.639999
10/21/2013,79.68
10/22/2013,79.239998
10/23/2013,79.260002
